ResponseId,DescribeVignette,Usable,Check,MentionsScientist
R_71SfyDbCultWwXu,"The media portrayed the protest from a neutral point of view. I feel they described the situation, but without passing a positive or negative judgements of the situation. They stated the protesters had blockaded several entrances with their bodies. They followed with the reasoning of the government.",1,,
R_7WDbPuj1McXDeXV,The media seemed to give the facts of the situation. It didn't seem to me that they were giving the information in a fully negative or positive way.,1,,
R_7DxvyiV4TIAAT1n,"It seems like the protest wasn't taken seriously, and that the scientists feel a sense of urgency in trying to get through to these big companies. I think the protest was being portrayed as a good thing, and put a responsibility on the company to take some sort of action.",1,,2
R_5VEEJ3CNRPvZytJ,"It was portrayed as peaceful, and backed up by scientific research as to what the changes they want to be made. Even scientists participated.",1,,1
R_3OMT4IzkJcM1m2r,"It was mostly neutral, mentioning the facts of the protest. It didn't interview the actual protesters, but they may not have had an obvious 'leader'. It's the University of Rochester, not Rochester University.",1,,
R_5qehEl0qSLFTDSI,"The media portrayed the protest in a one-sided manner, providing information only in support of the protestors and their opinions. No opposing views were provided.",1,,
R_6UQXBpIz8m8w3Gp,The media portrayed the protest as peaceful and without incident.,1,,
R_5sOtv7RRRfipJM5,The media portrayed them as scientiest and activitivist and stated that they marched to the Federal Reserve Bank and blocked entrances.,1,,1
R_1xcsTTTNxDkPdIJ,"I think it portrayed the media in a positive light of ambition. Climate change is happening and it’s good that the protest was portrayed in a way that shows how important it is to stop the government from one of the many ways they are harming not only earth but the people out of pure, disgusting greed. Describe the American government in one word: evil.",1,,
R_3XjqMheSd6WPULn,Media portrayed the protest in the right manner.,1,,
R_51swa1hNw1e7X5q,"The media portrayed the protest as a peaceful gathering of thousands in New York City, emphasizing the urgency of climate action and the demand to halt new fossil fuel drilling ahead of important U.N. meetings. It highlighted the support of scientists like Dr. Alex Fraser, who expressed frustration over the government's lack of response to climate science.",1,,1
R_1XiEkaWf7FkqIxv,"The media portrayed the request positively, indicating it was peaceful, in line with agency findings and endorsed by a scientist.",1,,1
R_5tc1KZkQSqNk9bj,They said the protest was for the stop drilling for oil to save climate change. they got arrested nothing changed,1,,
R_3s6LpA0iXgCl9ON,The media portrayed the protest in a good way stating the demands of the protesters and effects to the environment,1,,
R_7iqPnNWITNENas9,It seems like it's a biased article because there isn't enough information on both sides to me.,1,,
R_5ClqlGVHG8NVK2P,It was a peaceful protest. It was very large with thousands in attendance.,1,,
R_676TVfFS2UKuznx,This was a neutral portrayal of the climate change protest march. There is also a mildly informative paragraph explaining the reasoning behind the protest (global warming control),1,,
R_3oWrd1ddbEJiBz3,The media seems unbiased with describing the protest.,1,,
R_5pVqLmlTYprhoPr,The media portrayed the protests as being peaceful and reasonable. The protesters simply wanted to be heard.,1,,
R_3FsShqdRZmdal6l,The government is not being helpful in this situation and scientists believe this is a very serious issue,1,,2
R_1GBnKA19E1n8LSN,The media portrayed the protest as peaceful with no records of any type of negative or violent incidents occurring.,1,,
R_6NEXnv7F7dMIKU9,"It reads as if the protest itself was disruptive and overall a nuisance, hence the arrests, but the people in the protests as the David to the government's Goliath; small heroes trying to stop an environmental collapse.",1,,
R_5MKE7gtqJColNfY,The newspaper presented this protest as peaceful and appropriate. It was supported by Dr. Alex Fraser and other scientists.,1,,1
R_1C3k2I0sMTSlaQM,"The media showed the protest as a bold action by climate activists, joined by scientists, to stop new oil and gas projects. The story emphasized their urgency and frustration, noting that over a hundred people were arrested.",1,,1
R_63vxc7qtL8muDIe,"The protest was a peaceful march, and the protesters demand that no new oil and gas fields be explored",1,,
R_51Jpo563601OtYl,The media feels that the protest was justified because the government is not doing enough.,1,,
R_1B8SJhMMs9jcRoZ,"I feel the media portrayed the activists as law breakers and more causing a ruckus rather than a group of people who are very very concerned with climate change, and rightfully so.",1,,
R_1GTaTqCqbp5xM7Y,"I think the media portrayed the protest in a pro-activism light. They included only interviews with the protestors and used light language like ""blockaded.""",1,,
R_157CQHBlKIoztKh,"I feel the article was mostly neutral to slightly supportive of the activists. The article listed facts about the climate crisis, as well as interviewing a scientist activist. The article did not use any derogatory terms to describe the activists.",1,,1
R_6CsjC9AsuSJDdtC,The protest was portrayed respectfully by this specific article.,1,,
R_1PvLwEERZDnSi15,It seems to be fairly impartial. I feel like they gave the facts of the protest and the science without getting overly emotional or partisan in their reporting.,1,,
R_7Cv9RF9V7GssgGh,The media portrayed the protest in a neutral manner. They explained what happened and explained that the IEA has issued a relevant warning about climate change.,1,,2
R_7VMDEZXBS09BJip,Peaceful protest. No accidents occcured,1,,
R_1Lcz4wZxm67Bico,THE PROTEST WAS PEACEFUL AND TO THE POINT.,1,,
R_7pGKCwYh4MVUocf,The protest was described as very peacefu.,1,,
R_1gFu9UiTft4tHwX,"The media showed the protest as a big, urgent action, with many activists even risking arrest to stop new oil and gas projects. They shared scientists' frustration with the government, including Dr. Alex Fraser, who spoke out to support the protest.",1,,1
R_1I3O8lFLVSsj8nE,The article was neutral in the reporting on the protest and arrest of the activists. The article quoted one of the scientists who was arrested but some would say that no opposing viewpoint from those who deny climate change was included in the article.,1,,1
R_5CP0PCQBsXRQked,"In a positive, peaceful light, with a scientific message",1,,
R_1qQXz0cHyHqsynn,The media portrayed the protest as being a peaceful protest in which experts called upon the government to do better when it comes to helping fight climate change.,1,,
R_1MfnauJchmkS5T8,It seemed that the media has portrayed the protest fairly. They referenced different sources and no personal opinions were added.,1,,
R_7qpnsuFoy5Xg773,"They used pretty aggressive language like ""marched"" and ""barricaded"" to make the event seem more exciting that it probably was, but that's just journalism. Then they continue to talk about the validity of a general concern about climate change, subtly backing the protestors.",1,,
R_33fkpoSG7IceOxX,"The protest was centered on stopping new drilling. There were no incidents, and all was peaceful.",1,,
R_5rqlaikByRyso0i,I think the article has a very unbiased point of view.,1,,
R_3WDuytiU4NNhVIL,"They portrayed them as being proactive, where our government isnt.",1,,
R_3Sv5meuvopxpk1D,The media focused more on the arrests than the message from the protesters.,1,,
R_1QoaNYiWR75B0Rf,A number of concerned citizens took to the NY streets for a peaceful protest for climate change.,1,,
R_6ccBpQfh8nGUvaF,The protest itself was portrayed peacefully.,1,,
R_5xR8z5ys90vLRkq,"It says here in the Title in black and white how Climate Protesters March on New York, Calling for End Fossil Fuels and to stop new oil and gas drilling.",1,,
R_5ePcYwZBjmGwiWH,The protest was in Midtown and they marched peacefully. There were no incidents. They want to stop gas and oil drilling.,1,,
R_7IQKtLN8rKLRazV,"They described the protest as peaceful, and stated that there was no police intervention needed.",1,,
R_3wnpJry0rqiDog7,The media portrayed the protest as bad since protestors got arrested.,1,,
R_33wD5sXfxaGGSIl,"The media portrayed the climate protest in New York as a peaceful and orderly event, facilitated by the police without incidents, where thousands of activists marched through Manhattan demanding an end to fossil fuels. The article presented the protest in a neutral and factual manner, focusing on the protesters' demands and the scientific context.",1,,2
R_6YGuNht9yJzhW5m,The protest is described as peaceful and without incident. They are described as including scientists.,1,,1
R_6nidYSeoU9yuV2x,"The media portrayed the protest in heroic fashion. They are depicted not as aggressive in any fashion, but merely as blocking entrances with their bodies. Furthermore, the actions taken by the protestors are displayed as being vital to saving the planet, as illustrated by the scientists the media chose to interview.",1,,1
R_1AWHSR8a5BLCl1w,"That hundreds gathered and blocked entrances to the federal reserve bank to protest climate change. Dr. Alex Fraser, an environmental scientist was one arrested along with more than one hundred others. He said he is tired of no one listening because the warming needs to be limited to 2.7 Fahrenheit to avoid catastrophic impacts.",1,,1
R_7rFyUhNfKLoeBbz,As a peaceful demonstration that required no police intervention,1,,
R_7JmwExmtDcCQQvM,"I believe honest, reported what witnessed and what was the cause of the blockade.",1,,
R_5ygCLQvkqFrCZY9,They were portrayed pretty evenly. Using language like calling them activists and saying they gathered feels pretty neutral to me.,1,,
R_5scP9NpnAJvMeMb,I think that the media portrayed the protest in a positive manner - describing it as peaceful. The protest was also endorsed/validated by Environmental Scientist who agreed with the urgency of the protest's purpose.,1,,1
R_7QsqErCNN1qhmNJ,"I feel like it portrayed them as reasonable, fact based people",1,,
R_6TpzKlD2bdKkJrX,Well organized and peaceful with activists as well as scientists attending.,1,,1
R_1NQAfmtXcSg6ao9,"I think that the media presented the facts in a succinct way. I would like to know more information, but for a short article, it is a good start. It does not seem inflammatory.",1,,
R_3Kpv13aDNgOcuVQ,"I think the media was exceedingly kind to the protestors in its portrayal. They didn't include any counterargument, like the reality that the entire developing world will continue to use any form of energy it needs to pull themselves out of poverty.",1,,
R_1JlC21rupJyhoZP,"In the newspaper article read, the media portrayed the protest in a positive light by adding that the protest was a peaceful one. It also includes that it was 'facilitated by the police without any incidents', further ensuring readers that it was a peaceful and non-violent protest",1,,
R_7saDdhzGOIqNKKm,I don't think the media portrayed the protest with any inherent biases. They pretty much said why the protestors did what they did.,1,,
R_39PUBNn0RoZLseB,Activists used their own bodies to block the Federal Reservae.,1,,
R_1oZ7x1KT23JPqeb,It seemed to be somewhat unbiased. It gave a paragraph in support of the protesters and it also pretty much said they were getting in the way of business.,1,,
R_5P4TGuHbM3hOgbc,The protestors were doing what they had to do in order to save the earth from the negative impacts of climate change.,1,,
R_1odnOvJEKax5gkB,The protest was portrayed positively.,1,,
R_7QsGC45TzNhfyKy,"The media portrayed it in a relatively positive manner. Explanations were given in regards to why the protest was being done, and the article didn't utilize any irritating clickbait to try and generate views.",1,,
R_1907fNMaQfMDyZm,The media enjoyed the protest and thought it was a good thing.,1,,
R_3iyKgEnPo2qFzXz,The media portrayed the protests as a public disturbance.,1,,
R_30xiKYacX6PIVMh,Thousands of people conducted a march in protest of new oil and gas drilling in Manhattan ahead of UN meetings. The article notes a threshold for avoiding catastrophic climate change can be met by prohibiting new oil and gas fields.,1,,
R_3pZaCD9Bngx1w3f,The protestors were portrayed as a necessary evil to stop gas drilling and claimed support by scientists.,1,,1
R_3EMxKORdGBEcF1L,They were peaceful and protesters simply want change by lawmakers to stop using fossil fuels,1,,
R_16stiDyUW5WIIUN,"The protest was peaceful. The IEA states that now new oil and gas fields can be explored, or we will be unable to avoid catastrophic climate change impact.",1,,2
R_3gMDXl5erRoat38,It was peaceful and supported by law enforcement. Thousands of people took part and it was held in Midtown Manhattan.,1,,
R_139N3bQYLAWiA9l,"I thought the media presented the protestors in a neutral view. Which I think is a great thing. The article presented the facts of the event as they occurred. I did not detect a hint of bias one way or another. However wrote the article did it old school....who, what where, when and how....in my opinion perfectly.",1,,
R_7F4J7UQF4wFo9mW,The article describes the protesters as many but no specific number was mentioned. It also includred that a scientist was in the group due to feeling ignored previously.,1,,1
R_7OxBfzsTdoVllYd,climate protesters march was a peaceful protest in new york to demand goverements stop new oil and gas drilling. scientists agree with them.,1,,2
R_3eozcw5yqYA7FAJ,I think the media portrayed the protest in an accurate and objective way. They addressed the issues and the participants well I thought.,1,,
R_3WCgxWKaxsu3Kur,The activists blockaded the entrances with their bodies until they were arrested.,1,,
R_6qV3A1KsKR2Y96x,From this particular article it appears the coverage was pretty fair. This doesn't seem to slant the opinions in either way.,1,,
R_6qjKzAbBL0Ap0Vb,Scientists are agreeing with activists that the government needs to decrease new oil and gas drilling due to the climate crisis,1,,1
R_3llPx6cAWnBaU0h,They are portrayed as being fedup with additional fossil fuel activity approved by the government in the middle of a climate crisis.,1,,
R_5QaYUEz1WVb7Jex,It was peaceful and was facilitated by the police. They portrayed them as intelligent.,1,,
R_3i3ts5Pc1uWMHGu,Scientists and regular activists protesting by blocking entrances to new oil and gas fields with their bodies. Then getting arrested.,1,,1
R_3Ebv4Sg8eR4ip3i,By them being arrested for their actions.,1,,
R_3CknY78SAly52Wi,A protest demanding the end for fossil fuel due to its effects on the climate change.It also highlighted the geninue coperation with police and protesters,1,,
R_1CxabeNfXLyYEU0,"The media portrayed the protest in a relatively neutral way, I don't think they were necessarily too ""positive"" on the protesters, they simply presented the arguments the protesters made and the empiricism (in this case, scientists) behind it.",1,,2
R_6yqV9bBgnX6eOPv,just reported the facts without taking either side,1,,
R_3bWr6JOKTNHbQV9,The article seemed to present the facts of the story without an bias.,1,,
R_7rVebKJGdVpOwNj,The media portrayed the fact that protesters and scientists were joining forces. It also spoke about protesters using their bodies and being arrested.,1,,1
R_3atqKo1XbiiGdPU,"In the first paragraph it says that they marched peacefully and there were no incidents, that sounds like a flattering description. It also portrays the marchers as activists and scientists, as opposed to using demeaning language.",1,,1
R_1hhYTbHCYwxNYp0,Protesters came out in New York to protest new oil and gas drilling. It needs to be slowed to limit global warming.,1,,
R_5CO0JOtunOzWVzL,The media portrayed it as being peaceful and without incident.,1,,
R_34I4CJBK9uKrOOy,It was a peaceful protest. The scientists supported the activists in the protest.,1,,2
R_7jxmk8jaWwXuEc8,Seems like it was portrayed as a calm and peaceful protest,1,,
R_6Bu5ACfyCAvK3OV,"The media described the protest in a non-biased and factual manner. The media simply stated what the activists did (march to the Federal Reserve Bank), what the result was (more than one hundred were arrested), and why they were marching (to protest new oil and gas drilling since scientists are warning the world of new oil and gas fields adding to already advancing global warming).",1,,2
R_3E5IAYycC7hzfPm,They describe them just briefly they didn't stated clearly where they aggressive peaceful or anything like that... They just reported that more than 100 activists were arrested so I guess they portrayed THEM little bit aggressive...,1,,
R_1IZBPpCdHtg3hKy,It portrayed them to be protectors of the earth,1,,
R_7Fnd193rwp1b5ov,The article portrayed the protest as rational rather than kooky.,1,,
R_7zDvp8pzlB6bGbn,I feel like the article describe a peaceful protest related to global warming.The article was not inflammatory or biased,1,,
R_7rolTiOfeqcFXGB,They portrayed the protest as a non violent or destructive. It was shown as a very disruptive protest by attempting to shut down the federal reserve.,1,,
R_3QK9IG70Eg4oM6Z,"The writer presented the protest in fairly neutral terms, providing a relevant quote from an environmental scientist explaining why he as a scientist decided to join the event.",1,,1
R_7e3kHa6OkzsAicm,The protest was peaceful without needing intervention from police.,1,,
R_7iYAkG1J2DoK1KV,"They were leaning on the side of the protesters/scientists, not giving a response for the opposing side.",1,,2
R_3lmgLFbamQGeZ5Q,The media portrayed the protest in a fairly neutral way.,1,,
R_3c1sZDuJMlmii6G,"The media portrayed the protest as a significant and urgent demonstration by climate activists calling for an immediate halt to new oil and gas drilling, emphasizing the activists' commitment to addressing the climate crisis. The involvement of scientists, like Dr. Alex Fraser, highlighted a growing frustration with government inaction on climate issues and underscored the seriousness of the demands being made.",1,,1
R_32RqHqU1gMsgsrv,The protest was peaceful as they come. It was inforced and monitored by the police without any reported situations.,1,,
R_3LzNt7bqJ9nort2,The media portrayed the protest as a peaceful march that received amicable support from the police to facilitate it.,1,,
R_3O1gaWvl2kZudXj,The media seems to have portrayed them in a fair light. The media did and accurate job reporting the facts of what happened without mixing too much of their opinion in with it. The protest seemed to be kind of disrupting as so many were arrested. Usually this wouldn't be the case if it remained peaceful.,1,,
R_5EveYagQ2sFzllV,"It seems like a peaceful gathering without any violence. I get a sense of urgency from the protesters, I sympathize with them.",1,,
R_525VrjnKHTItzvz,"I think that the media portrayed the protest in this article in a fairly neutral way, by indicating that the protest was peaceful and without incident. They also provided accurate and useful context about why the protest was happening (the need to limit warming and reduce oil and gas fields), and backed up that context with information from an expert in the field of climate science.",1,,
R_3pm0NdAIKgVmrYZ,"It was portrayed as peaceful and non-violent, stating that there were no incidents.",1,,
R_32Sho9lJdjUpDLl,It was portrayed in a fair way.,1,,
R_38EHxqSwkGQMFe9,They portrayed the protests as of they were justified.,1,,
R_5liwIsMhQiY532N,"As a peaceful demonstration facilitated by the police without any incidents, scientists are not used to endorsing activists, but we have had enough of being ignored for so long.",1,,1
R_3EsAFCHSN3Yr1DL,The newspaper article above described the protest as having many participants actively blocking the accesses to the Federal Reserve bank. They were demanding that no new oil or gas fields be explored.,1,,
R_6MlzIiKnmGm8XjH,it was portrayed a peaceful protest and also how they marched the street of manhattan demanding the us government and other government to stop new oil and gas drilling and with the help of the police there was no incident,1,,
R_6fADo977mV0uW8O,The media portrayed the protest in a neutral manner. There are zero emotion-related words in relation to the protest. The article simply states what happened without casting judgement in either direction (good or bad).,1,,
R_1Emol5Cb75xEh9V,"I would say that the media here presented the climate protesters in a strong, united, and positive way. I also would say that they portrayed that their protest ""did something"".",1,,
R_13x9evkMXc32Dqc,"I feel like the inclusion of the scientific consensus on the matter adds legitimacy to the protesters cause. Sadly, the overreaction of the police is glossed over.",1,,2
R_1QcOXAJWHUidCe1,Media portrayed a protest as being peaceful because it agreed with their agenda.,1,,
R_7hGT7lZVI5RZFbh,The protest is portrayed as a peaceful march on New York to protest climate change and the exploration of new oil and gas fields.,1,,
R_1Ht0LQkbCHFE7mN,The media portrayed the protest as harsh I think because of the government. The climate activists have a right to protest their feelings.,1,,
R_5b3psCR0B31mYj6,"The story seemed very neutrally presented, with facts included and no particular ""slant"" from the journalist.",1,,
R_1pRvV0oOgTlqh1X,"The protest viewed portrayed as peaceful, facilitated by the police without any incidents.",1,,
R_7ukUc8RpCTHiT61,The protest was was portrayed as being very non-problematic. It seems to have governed some type of respect from the writer of this article.,1,,
R_7TIa5vZk8FNTT21,The government is being irresponsible in regards to climate warming and scientists are not used to these activities and they need to stop.,1,,1
R_52t8GnpYwVPqXyC,The media reported facts and interviews about the protest. They quoted scientist at the protest. But I could sense that the reporting media is siding with the protestors.,1,,1
R_60CWDcBK2gJjWwN,That the impact of fossil fuels is a very serious problem. They portrayed these impacts on the world in a very understanding way.,1,,
R_53f0U8DkAgo1XNr,"The media highlighted the protest as a significant call to action by climate activists demanding an end to fossil fuel exploration, resulting in many arrests.",1,,
R_7paRlXZ9bcdppyF,"The media characterized the protest as a crucial demonstration against new fossil fuel drilling, noting the activists' urgency and over a hundred arrests.",1,,
R_7cSY520q8VrkE8m,The media showed the protest as climate activists telling the U.S. government to stop new oil and gas drilling with scientists backing them up,1,,1
R_7kG5Q3roYFwLPJp,I believe this article favors the protest and gives great details as to why the protest is valid.,1,,
R_7P6GZxdFg8kpdSk,The media portrayed the protest by implying it was peaceful.,1,,
R_6Sxh9OZjNlyhy4Z,"The media portrayed the climate protest as being peaceful, without incidents. The media explained why this issue was important to the protesters, based on scientific studies.",1,,2
R_6iwbEZ0co24ydih,The media portrayed the protest as peaceful and incident-free,1,,
R_69jhHm6c98vU35m,The media made it seem like the scientists and activists were being dramatic and in the wrong. They didn't really highlight the agreement and why it's so important.,1,,
R_538iO6yQiaBSq9r,The media portrayed the protest fairly. There was no bias for or against the protestors.,1,,
R_1nN5Tlo7gOBq7Ka,Scientists have had enough with being ignored for so long.,1,,1
R_5IEJpIZMzD8yOkH,The media portrayed the protest as peaceful with no incidents of crime.,1,,
R_3M3UA7jZd4Zc4V3,The protest was described very objectively.,1,,
R_1JEAHOcQ9YUQx1L,They said the protest was facilitated by the police. They say that no new oil and gas fields can be explored.,1,,
R_1P8jULwmhmXxdvQ,"The media portrayed the protests as a group of people, including activists and scientists, marching and blocking entrances as a way to demand that we stop new oil and gas drilling.",1,,1
R_1lEtOimkkxiv5VV,The media portrayed the protest as peaceful and respectful without any incidents.,1,,
R_1rkHqyyzsdmpCDS,"In this particular instance, the media took a neutral stance when portraying the protest. They did not add any potential inflammatory statements that could be viewed negatively or positively, they simply presented what happened and what their goal was.",1,,
R_7OSWZK389i6wfkX,"the media portrayed the protest very well, saying what the scientists are doing to save our planet and warning the government how dangerous is to drill more oil and gas.",1,,1
R_1hg2jaqNFhK2STC,The overall tone feels positive towards the protesters. They emphasize the peaceful nature and the follow up paragraph reinforces points that were made in the article that reflect the goals of the protesters and use the same language.,1,,
R_7JludkrUYNwX1Us,"The media portrayed the protest as a large-scale demonstration by climate activists, emphasizing their demands to halt new oil and gas drilling and highlighting the arrests made after blockades at the Federal Reserve. It also underscored the scientific consensus on limiting global warming and the IEA's stance against new fossil fuel exploration.",1,,2
R_5EiZ3fR7x1IktKS,"neutrally, the protesters were portrayed respectfully while detailing the protesters marching for their goal of stopping drilling.",1,,
R_3Q02apZjCOduLxQ,"It was portrayed as a very civil, even necessary, event. It seems to have been virtually pre-approved by authorities.",1,,
R_18ZJsndmV7ocinA,Fossil fuel limitations requested from scientists,1,,2
R_74bZvAsqZDjsxm9,"I think they portrayed the protest in a semi-positive light, I think the writing shows it agrees with the fact that it is very irresponsible and should be stopped, and their urgency for the future impact if nothing changes",1,,
R_6zXZNlKyqY7SGd0,The media portrayed the protest in a positive manner. The portrayed placed the protesters in a helpful view.,1,,
R_5BtFXpIrdA9eLRo,The media portrayed the protest as a peaceful protest by climate activists.,1,,
R_11ch9pJwj3vzzpv,"It seemed mostly neutral, maybe slightly biased against but not much",1,,
R_3t9GygNzXLXO8d2,The media portrayed the protest fairly and positively. They provided context for why the activists were protesting.,1,,
R_3Y9OCzwAZiOnxZL,World needs to limit warming to 1.5 degrees C above pre-industrial levels. If not itll have catastrophic impacts on the climate,1,,
R_1zwoyt8Zh1NhzJu,"Overall, this protest was covered in a very neutral or perhaps pro climate protest tone. It is mainly showcasing what took place, providing a bit of context, and mentions that no violence took place.",1,,
R_5noteoQJBAv111k,The Media portrayed the protest as awareness of the climate damage. The Media also allowed the scientists voice to be heard.,1,,1
R_6SCwVQJ0U5626ET,It seems like they portrayed the protests as a negative experience as more than 100 activists were arrested.,1,,
R_6kOkHSdFKJKam9g,"The media portrayed the protest as well attended, organized and without incident. The police helped facilitate the event peacefully and non violently.",1,,
R_5rGLqhnbkyOtJ4o,The media presented the protestors as credible and with a good cause for their actions. Information supplied by the journalist appears to support the protestors.,1,,
R_1Owb1Zyma4UuHm1,The media portrayed the protest as peaceful and without incident.,1,,
R_1kGsZbhurvx40eo,The newspaper article the protest neutrally.,1,,
R_39RmVlsSiP59KvL,they had a protest because of oil drilling and was tired of their voice not being heard,1,,
R_7UnjNGzjneM2l3j,"Protesters want the government to stop drilling. They were arrested, so was a scientist, which is unusual.",1,,1
R_6EvknnTF83feLbJ,The media portrayed the protest very positively.,1,,
R_5MbeiEVQOSLe1Am,"The protesters actions were described factually. I do not see any ""slant"" to the treatment of the story of their arrests.",1,,
R_1KkkNAIjkqjuJkn,"The article describes the climate protests as peaceful and portraying the protesters in a positive light. They even go so far as to have a scientist comment that they support these activists when they normally do not, because they are tired of being ignored for so long about climate change.",1,,1
R_3qfzDRMNbHOhAmR,"The protest was covered positively. It also included helpful, objective information for context.",1,,
R_1BAZxszJmAzUcPn,The media made it seem like the government is not doing anything about the climate changes. And that a scientist had to step in to help protest because they feel like they are being ignored.,1,,1
R_37U4nFfL6a1w5h8,"I think it leans more toward accusing the activists of wrongdoing because of ""blockaded several entrances""; that leans negative.",1,,
R_5jli75E0GpNIDol,I think this is a supportive portrayal of the protest. It states the dismal facts about our climate.,1,,
R_7MT00QWwim29jOa,"I think it portrayed the protest very mater-of-factly and did not seem to put any ""opinion"" or try to sway anyone elses.",1,,
R_5avdQRYk5LLq5wZ,The protest was described as peaceful.,1,,
R_6C75LWnpRjN8zMp,Thousands gathered in Midtown demanding that the government stop new oil and gas drilling. The activists marched peacefully through Manhattan. The were no incidents reported by the police.,1,,
R_6MccF9KPncqfO2w,The media portrayed this protes as peaceful and numbering in the thousands.,1,,
R_7HANxAK0bwN6ySo,They surrounded a government building. That's aggressive.,1,,
R_7w4Ulwz8hh8A1PI,The blocked them off and tried to stop the protest.,1,,
R_13dn7rsGs2UM8jn,They portrayed the protest honestly with an emphasis with facts about the urgency of the climate crisis told by a scientist...a fed up scientist at that. It was very informative.,1,,1
R_3IyOujnkrXuhYAd,I think they painted them pretty neutral. They did not glorify or vilify but used facts.,1,,
R_63snzrzAoIiiEg1,"balanced portrayal seems accurate, they used words such as peacefully, which is positive. By using the scientist excerpt, it portrays a negative view on the response of the government.",1,,1
R_71cHzIoFJuHhwHO,The protest was portrayed as peaceful and that it was supported by climate scientists.,1,,1
